Chromosome	Start	End	GeneID	Gene_type	Strand
HG1369_PATCH	117218	118142	ENSG00000291416	lncRNA	-1
HG1369_PATCH	136728	137775	ENSG00000291417	lncRNA	-1
HG1369_PATCH	170252	183981	ENSG00000291418	lncRNA	1
HG1369_PATCH	165618	180052	ENSG00000291420	protein_coding	-1
HG1298_PATCH	16444	18780	ENSG00000288522	lncRNA	-1
HG1298_PATCH	98859	124622	ENSG00000288204	protein_coding	-1
HG1298_PATCH	111498	113610	ENSG00000288247	lncRNA	-1
HG1369_PATCH	50095	122536	ENSG00000291421	protein_coding	1
HG1369_PATCH	137857	138948	ENSG00000291422	lncRNA	1
HG1369_PATCH	171267	172617	ENSG00000291423	lncRNA	1
HG1369_PATCH	46943	48002	ENSG00000291424	lncRNA	1
HG1369_PATCH	29782	40102	ENSG00000291425	lncRNA	-1
HG1309_PATCH	46660	71371	ENSG00000288372	lncRNA	-1
HG1309_PATCH	52726	56866	ENSG00000288288	lncRNA	1
HG1309_PATCH	90874	107722	ENSG00000288129	lncRNA	-1
HG1309_PATCH	111541	125215	ENSG00000288472	lncRNA	-1
HG1309_PATCH	125237	131153	ENSG00000288417	lncRNA	1
HG1309_PATCH	137453	140660	ENSG00000288502	lncRNA	-1
HG1309_PATCH	150608	151701	ENSG00000288311	lncRNA	1
HG1309_PATCH	158623	169868	ENSG00000288449	lncRNA	-1
HG1309_PATCH	168259	235989	ENSG00000288499	protein_coding	1
HG1309_PATCH	203242	205245	ENSG00000288159	TEC	-1
HG1309_PATCH	238026	238462	ENSG00000288431	protein_coding	1
HG142_HG150_NOVEL_TEST	15874	16374	ENSG00000281819	processed_pseudogene	-1
HG142_HG150_NOVEL_TEST	21622	22569	ENSG00000263150	protein_coding	-1
HG142_HG150_NOVEL_TEST	42855	43934	ENSG00000262851	protein_coding	-1
HG142_HG150_NOVEL_TEST	62949	63971	ENSG00000261897	protein_coding	1
HG142_HG150_NOVEL_TEST	86388	87368	ENSG00000262784	protein_coding	1
HG142_HG150_NOVEL_TEST	100802	101839	ENSG00000262611	protein_coding	-1
HG142_HG150_NOVEL_TEST	107290	108220	ENSG00000280712	unprocessed_pseudogene	-1
HG142_HG150_NOVEL_TEST	129056	129994	ENSG00000262755	protein_coding	1
HG142_HG150_NOVEL_TEST	142096	143237	ENSG00000281773	unprocessed_pseudogene	-1
HG142_HG150_NOVEL_TEST	145891	146817	ENSG00000280617	unprocessed_pseudogene	1
HG142_HG150_NOVEL_TEST	156788	157747	ENSG00000263328	protein_coding	1
HG142_HG150_NOVEL_TEST	168077	168970	ENSG00000281820	processed_pseudogene	1
HG142_HG150_NOVEL_TEST	170964	172037	ENSG00000262796	protein_coding	1
HG142_HG150_NOVEL_TEST	186374	187333	ENSG00000262315	protein_coding	1
HG142_HG150_NOVEL_TEST	193979	194908	ENSG00000281038	protein_coding	1
HG142_HG150_NOVEL_TEST	199990	200944	ENSG00000280577	unprocessed_pseudogene	1
HG1320_PATCH	17625	27501	ENSG00000288269	protein_coding	1
HG1320_PATCH	35854	46795	ENSG00000288213	protein_coding	-1
HG1485_PATCH	7682	21171	ENSG00000288319	protein_coding	1
HG1485_PATCH	16980	17085	ENSG00000288521	snRNA	1
HG1485_PATCH	359700	362893	ENSG00000288394	unprocessed_pseudogene	1
HG1485_PATCH	377336	377423	ENSG00000288228	processed_pseudogene	1
HG1485_PATCH	395949	398037	ENSG00000288342	unprocessed_pseudogene	1
HG1485_PATCH	400953	448876	ENSG00000288315	unprocessed_pseudogene	-1
HG1485_PATCH	458991	460328	ENSG00000288272	processed_pseudogene	1
HG1320_PATCH	46985	48543	ENSG00000288186	protein_coding	-1
HG1342_HG2282_PATCH	4199	4672	ENSG00000282162	lncRNA	-1
HG1342_HG2282_PATCH	6118	12923	ENSG00000281934	protein_coding	-1
HG1342_HG2282_PATCH	19638	22870	ENSG00000282116	unprocessed_pseudogene	-1
HG1342_HG2282_PATCH	28921	30238	ENSG00000282175	protein_coding	-1
HG1342_HG2282_PATCH	38599	43422	ENSG00000282817	protein_coding	1
HG1342_HG2282_PATCH	60725	67714	ENSG00000282584	protein_coding	-1
HG1342_HG2282_PATCH	74409	79783	ENSG00000282663	protein_coding	-1
HG1342_HG2282_PATCH	98123	101995	ENSG00000279195	protein_coding	1
HG1342_HG2282_PATCH	104067	104173	ENSG00000282338	snRNA	1
HG1342_HG2282_PATCH	107675	109766	ENSG00000282549	unprocessed_pseudogene	1
HG1342_HG2282_PATCH	119985	129093	ENSG00000282119	protein_coding	-1
HG1342_HG2282_PATCH	183679	186470	ENSG00000282791	unprocessed_pseudogene	1
HG1342_HG2282_PATCH	203816	210831	ENSG00000282437	protein_coding	-1
HG1342_HG2282_PATCH	215209	216569	ENSG00000282559	protein_coding	1
HG1342_HG2282_PATCH	223017	232224	ENSG00000282566	protein_coding	1
HG1342_HG2282_PATCH	249519	252311	ENSG00000282258	unprocessed_pseudogene	-1
HG1342_HG2282_PATCH	258743	260029	ENSG00000282562	unprocessed_pseudogene	-1
HG1342_HG2282_PATCH	269828	271194	ENSG00000282530	protein_coding	-1
HG1342_HG2282_PATCH	283158	285955	ENSG00000282468	transcribed_unprocessed_pseudogene	1
HG1342_HG2282_PATCH	284133	285749	ENSG00000290624	lncRNA	1
HG1342_HG2282_PATCH	301321	301800	ENSG00000282341	lncRNA	-1
HG1342_HG2282_PATCH	303245	310301	ENSG00000281987	protein_coding	-1
HG151_NOVEL_TEST	119918	138264	ENSG00000290500	lncRNA	-1
HG1342_HG2282_PATCH	318926	319807	ENSG00000282095	protein_coding	-1
HG151_NOVEL_TEST	7154	8071	ENSG00000261958	protein_coding	1
HG1342_HG2282_PATCH	326795	333804	ENSG00000282298	protein_coding	1
HG151_NOVEL_TEST	18234	19151	ENSG00000262191	protein_coding	1
HG151_NOVEL_TEST	54158	54304	ENSG00000281683	processed_pseudogene	-1
HG1342_HG2282_PATCH	350528	355749	ENSG00000282741	protein_coding	-1
HG151_NOVEL_TEST	58021	58938	ENSG00000262268	unprocessed_pseudogene	1
HG151_NOVEL_TEST	60669	61653	ENSG00000262647	protein_coding	-1
HG1342_HG2282_PATCH	377045	380446	ENSG00000282212	protein_coding	-1
HG151_NOVEL_TEST	68865	69744	ENSG00000281777	unprocessed_pseudogene	-1
HG1342_HG2282_PATCH	400203	402992	ENSG00000282289	unprocessed_pseudogene	1
HG1342_HG2282_PATCH	408552	417654	ENSG00000282424	protein_coding	1
HG151_NOVEL_TEST	93103	94048	ENSG00000281313	unprocessed_pseudogene	-1
HG151_NOVEL_TEST	108048	108807	ENSG00000281279	unprocessed_pseudogene	-1
HG1342_HG2282_PATCH	427879	429967	ENSG00000282216	unprocessed_pseudogene	-1
HG1342_HG2282_PATCH	433465	433571	ENSG00000282288	snRNA	-1
HG151_NOVEL_TEST	119698	120636	ENSG00000262535	transcribed_unprocessed_pseudogene	-1
HG1342_HG2282_PATCH	435375	439514	ENSG00000282583	protein_coding	-1
HG151_NOVEL_TEST	137423	138358	ENSG00000281107	protein_coding	-1
HG151_NOVEL_TEST	166410	189093	ENSG00000281839	lncRNA	1
HG1342_HG2282_PATCH	457879	463247	ENSG00000282125	protein_coding	1
HG1342_HG2282_PATCH	157184	159964	ENSG00000293551	protein_coding	1
HG1343_HG173_HG459_PATCH	1991	2494	ENSG00000291378	lncRNA	1
HG1343_HG173_HG459_PATCH	1991	16789	ENSG00000291381	protein_coding	-1
HG1343_HG173_HG459_PATCH	20044	21562	ENSG00000291405	lncRNA	-1
HG1524_PATCH	18042	39335	ENSG00000288263	protein_coding	1
HG1343_HG173_HG459_PATCH	20606	32164	ENSG00000291404	transcribed_unprocessed_pseudogene	-1
HG1343_HG173_HG459_PATCH	32811	35472	ENSG00000291376	lncRNA	-1
HG1343_HG173_HG459_PATCH	35829	41320	ENSG00000291382	protein_coding	-1
HG1524_PATCH	50110	52688	ENSG00000288305	TEC	-1
HG1343_HG173_HG459_PATCH	45350	45535	ENSG00000291377	processed_pseudogene	-1
HG1343_HG173_HG459_PATCH	50977	156623	ENSG00000291375	protein_coding	-1
HG1343_HG173_HG459_PATCH	156718	202286	ENSG00000291379	protein_coding	1
HG1343_HG173_HG459_PATCH	173285	173665	ENSG00000291374	processed_pseudogene	-1
HG1343_HG173_HG459_PATCH	191257	241687	ENSG00000291401	protein_coding	-1
HG1343_HG173_HG459_PATCH	244986	264343	ENSG00000291380	protein_coding	1
HG1343_HG173_HG459_PATCH	265213	272746	ENSG00000291388	lncRNA	1
HG1343_HG173_HG459_PATCH	278663	295576	ENSG00000291402	transcribed_unprocessed_pseudogene	-1
HG1343_HG173_HG459_PATCH	318424	318587	ENSG00000291389	snRNA	-1
HG1343_HG173_HG459_PATCH	319335	326095	ENSG00000291390	lncRNA	1
HG1343_HG173_HG459_PATCH	324997	326103	ENSG00000291391	lncRNA	1
HG1343_HG173_HG459_PATCH	338197	339960	ENSG00000291392	lncRNA	-1
HG1343_HG173_HG459_PATCH	338392	338535	ENSG00000291393	snRNA	-1
HG1343_HG173_HG459_PATCH	352956	356848	ENSG00000291394	unprocessed_pseudogene	-1
HG1343_HG173_HG459_PATCH	483403	483840	ENSG00000291386	lncRNA	1
HG1343_HG173_HG459_PATCH	492015	492178	ENSG00000291385	snRNA	-1
HG1343_HG173_HG459_PATCH	498429	500577	ENSG00000291408	lncRNA	1
HG1343_HG173_HG459_PATCH	498552	499059	ENSG00000291384	processed_pseudogene	-1
HG1343_HG173_HG459_PATCH	504496	517221	ENSG00000291400	lncRNA	-1
HG1343_HG173_HG459_PATCH	514315	514458	ENSG00000291383	snRNA	-1
HG1343_HG173_HG459_PATCH	676471	676813	ENSG00000291395	transcribed_unprocessed_pseudogene	-1
HG1343_HG173_HG459_PATCH	847890	855569	ENSG00000291397	unprocessed_pseudogene	1
HG1343_HG173_HG459_PATCH	850592	851026	ENSG00000291398	processed_pseudogene	1
HG1343_HG173_HG459_PATCH	869713	869876	ENSG00000291396	snRNA	1
HG1343_HG173_HG459_PATCH	957786	957949	ENSG00000291399	snRNA	1
HG1343_HG173_HG459_PATCH	1481961	1534651	ENSG00000291387	protein_coding	-1
HG1343_HG173_HG459_PATCH	652677	779104	ENSG00000292230	unprocessed_pseudogene	-1
HG1343_HG173_HG459_PATCH	879420	1005754	ENSG00000291403	unprocessed_pseudogene	1
HG1343_HG173_HG459_PATCH	1178785	1193160	ENSG00000292231	unprocessed_pseudogene	1
HG1343_HG173_HG459_PATCH	561254	566210	ENSG00000291407	lncRNA	1
HG1343_HG173_HG459_PATCH	564764	571773	ENSG00000292235	unprocessed_pseudogene	1
HG1343_HG173_HG459_PATCH	567488	567922	ENSG00000292236	processed_pseudogene	1
HG1343_HG173_HG459_PATCH	679318	683976	ENSG00000292238	unprocessed_pseudogene	1
HG1343_HG173_HG459_PATCH	767483	772149	ENSG00000292239	unprocessed_pseudogene	1
HG1343_HG173_HG459_PATCH	886318	891041	ENSG00000292240	unprocessed_pseudogene	-1
HG1343_HG173_HG459_PATCH	974464	979128	ENSG00000292241	unprocessed_pseudogene	-1
HG1343_HG173_HG459_PATCH	1161819	1166487	ENSG00000292242	unprocessed_pseudogene	-1
HG1343_HG173_HG459_PATCH	434287	466213	ENSG00000292229	unprocessed_pseudogene	-1
HG152_PATCH	8637	43920	ENSG00000291426	protein_coding	-1
HG1343_HG173_HG459_PATCH	366657	428849	ENSG00000292226	protein_coding	-1
HG1343_HG173_HG459_PATCH	1011165	1078120	ENSG00000292228	protein_coding	1
HG152_PATCH	44035	44973	ENSG00000291427	lncRNA	1
HG152_PATCH	67516	71334	ENSG00000291429	lncRNA	-1
HG152_PATCH	84625	98552	ENSG00000291430	lncRNA	1
HG152_PATCH	124165	196955	ENSG00000291428	protein_coding	1
HG1343_HG173_HG459_PATCH	585030	647269	ENSG00000292227	protein_coding	-1
HG1343_HG173_HG459_PATCH	1198562	1260797	ENSG00000292225	protein_coding	1
HG152_PATCH	198848	201898	ENSG00000291441	lncRNA	-1
HG152_PATCH	294027	312247	ENSG00000291431	protein_coding	-1
HG152_PATCH	311329	339160	ENSG00000291432	lncRNA	1
HG152_PATCH	324318	325259	ENSG00000291433	protein_coding	-1
HG152_PATCH	337153	338270	ENSG00000291434	protein_coding	-1
HG152_PATCH	347541	348439	ENSG00000291435	protein_coding	-1
HG152_PATCH	360934	362114	ENSG00000291440	protein_coding	-1
HG152_PATCH	369751	370906	ENSG00000291443	protein_coding	1
HG152_PATCH	402560	403319	ENSG00000291436	lncRNA	-1
HG152_PATCH	405573	407832	ENSG00000291437	lncRNA	1
HG152_PATCH	423245	425605	ENSG00000291438	lncRNA	-1
HG152_PATCH	428273	429032	ENSG00000291439	lncRNA	1
HG152_PATCH	203723	274455	ENSG00000291442	protein_coding	-1
HG1532_PATCH	835225	845930	ENSG00000291444	unprocessed_pseudogene	-1
HG1532_PATCH	33367	34984	ENSG00000291445	processed_pseudogene	-1
HG1532_PATCH	848837	851006	ENSG00000291446	unprocessed_pseudogene	1
HG1532_PATCH	50976	53085	ENSG00000291447	unprocessed_pseudogene	1
HG1532_PATCH	864903	865370	ENSG00000291448	unprocessed_pseudogene	-1
HG1532_PATCH	56911	71893	ENSG00000291449	unprocessed_pseudogene	-1
HG1532_PATCH	98197	98529	ENSG00000291450	processed_pseudogene	1
HG1532_PATCH	178412	190151	ENSG00000291451	unprocessed_pseudogene	-1
HG1532_PATCH	193081	193329	ENSG00000291452	processed_pseudogene	1
HG1532_PATCH	197162	202114	ENSG00000291453	lncRNA	-1
HG1532_PATCH	225079	227881	ENSG00000291455	protein_coding	1
HG1532_PATCH	235085	303872	ENSG00000291456	lncRNA	-1
HG1532_PATCH	303320	305312	ENSG00000291457	transcribed_unprocessed_pseudogene	-1
HG1532_PATCH	204746	207566	ENSG00000291458	protein_coding	1
HG1532_PATCH	488788	491602	ENSG00000291459	protein_coding	1
HG1532_PATCH	384417	447256	ENSG00000291460	transcribed_unprocessed_pseudogene	-1
HG1532_PATCH	506130	508122	ENSG00000291461	transcribed_unprocessed_pseudogene	-1
HG1532_PATCH	460285	506463	ENSG00000291462	lncRNA	-1
HG1532_PATCH	222128	224096	ENSG00000291454	transcribed_processed_pseudogene	-1
HG1532_PATCH	214793	222683	ENSG00000293355	lncRNA	-1
HG1362_PATCH	18842	180082	ENSG00000281449	protein_coding	1
HG1535_PATCH	52742	53074	ENSG00000285019	processed_pseudogene	-1
HG1535_PATCH	58534	60100	ENSG00000285196	unprocessed_pseudogene	-1
HG1535_PATCH	82985	95067	ENSG00000285308	unprocessed_pseudogene	1
HG1362_PATCH	80161	80487	ENSG00000281442	processed_pseudogene	1
HG1362_PATCH	80950	81034	ENSG00000283344	miRNA	1
HG1362_PATCH	85023	236042	ENSG00000281324	protein_coding	-1
HG1535_PATCH	98305	102177	ENSG00000285028	unprocessed_pseudogene	-1
HG1535_PATCH	117629	119279	ENSG00000285455	unprocessed_pseudogene	1
HG1535_PATCH	198642	199281	ENSG00000285477	unprocessed_pseudogene	-1
HG1362_PATCH	124260	124770	ENSG00000280475	processed_pseudogene	1
HG1362_PATCH	195672	195775	ENSG00000206783	snRNA	1
HG1362_PATCH	217989	218425	ENSG00000281874	processed_pseudogene	1
HG1362_PATCH	258225	258327	ENSG00000207477	snRNA	-1
HG1362_PATCH	295054	319240	ENSG00000281818	protein_coding	-1
HG1362_PATCH	307774	308252	ENSG00000281051	processed_pseudogene	1
HG1362_PATCH	324404	326065	ENSG00000281234	lncRNA	-1
HG1362_PATCH	326076	440236	ENSG00000280689	protein_coding	1
HG1362_PATCH	421106	421484	ENSG00000281168	processed_pseudogene	-1
HG1362_PATCH	442285	531866	ENSG00000280962	protein_coding	-1
HG1362_PATCH	454356	460584	ENSG00000281671	lncRNA	1
HG1362_PATCH	537204	537779	ENSG00000281525	processed_pseudogene	-1
HG1651_PATCH	117294	117707	ENSG00000282467	processed_pseudogene	1
Y	333933	386955	ENSG00000292327	protein_coding	-1
Y	1008503	1010101	ENSG00000292328	processed_pseudogene	-1
Y	253743	255091	ENSG00000292329	unprocessed_pseudogene	1
Y	1767347	1768776	ENSG00000292330	lncRNA	1
Y	1401769	1414028	ENSG00000292331	lncRNA	1
Y	1336616	1382689	ENSG00000292332	protein_coding	1
Y	1462581	1537185	ENSG00000292333	protein_coding	-1
Y	1386152	1392113	ENSG00000292334	protein_coding	-1
Y	990221	994365	ENSG00000292335	lncRNA	1
Y	1615059	1643081	ENSG00000292336	protein_coding	1
Y	2334295	2336410	ENSG00000292337	lncRNA	-1
HG1384_PATCH	45607	45750	ENSG00000288406	processed_pseudogene	1
Y	2219506	2502805	ENSG00000292338	protein_coding	-1
Y	1403139	1453762	ENSG00000292339	protein_coding	-1
Y	1732584	1763212	ENSG00000292340	lncRNA	1
Y	1396427	1399402	ENSG00000292341	lncRNA	1
Y	320990	321851	ENSG00000292342	lncRNA	1
Y	1591604	1602520	ENSG00000292343	protein_coding	1
Y	276322	303356	ENSG00000292344	protein_coding	1
Y	2486414	2500976	ENSG00000292345	protein_coding	-1
Y	2609191	2609254	ENSG00000292346	miRNA	1
Y	2612988	2615347	ENSG00000292347	lncRNA	-1
Y	2691187	2741309	ENSG00000292348	protein_coding	1
Y	386980	405579	ENSG00000292349	lncRNA	1
Y	388100	388389	ENSG00000292350	misc_RNA	-1
Y	419157	421980	ENSG00000292351	lncRNA	1
Y	523775	524102	ENSG00000292352	processed_pseudogene	-1
Y	545236	545352	ENSG00000292353	processed_pseudogene	-1
Y	624344	659411	ENSG00000292354	protein_coding	1
Y	1293918	1293992	ENSG00000292355	miRNA	1
Y	1300256	1300375	ENSG00000292356	rRNA_pseudogene	-1
Y	1268800	1310381	ENSG00000292357	protein_coding	1
Y	304529	318796	ENSG00000292358	protein_coding	-1
Y	1661795	1662306	ENSG00000292359	lncRNA	1
Y	2566024	2609207	ENSG00000292360	lncRNA	-1
Y	2609415	2623453	ENSG00000292361	transcribed_unprocessed_pseudogene	1
Y	2609340	2658924	ENSG00000292362	lncRNA	1
Y	1190490	1212723	ENSG00000292363	protein_coding	-1
Y	57015105	57016096	ENSG00000292364	processed_pseudogene	-1
Y	57062156	57062405	ENSG00000292365	processed_pseudogene	1
Y	57067865	57130289	ENSG00000292366	protein_coding	1
Y	57165512	57165845	ENSG00000292367	processed_pseudogene	-1
Y	57171890	57172769	ENSG00000292368	processed_pseudogene	-1
Y	57190738	57208756	ENSG00000292369	lncRNA	1
Y	57201143	57203357	ENSG00000292370	lncRNA	-1
Y	57212184	57214397	ENSG00000292371	unprocessed_pseudogene	-1
Y	57207346	57212230	ENSG00000292372	protein_coding	1
Y	57184216	57197337	ENSG00000292373	protein_coding	1
Y	8280198	8282209	ENSG00000215601	unprocessed_pseudogene	1
Y	7853686	7854876	ENSG00000215603	processed_pseudogene	-1
Y	4801685	4802848	ENSG00000225878	processed_pseudogene	-1
Y	7687739	7689548	ENSG00000236435	unprocessed_pseudogene	-1
Y	11332329	11333595	ENSG00000258991	unprocessed_pseudogene	1
Y	7803996	7810683	ENSG00000237048	lncRNA	1
Y	14941746	14942715	ENSG00000224518	processed_pseudogene	1
Y	9030594	9039988	ENSG00000231988	unprocessed_pseudogene	1
Y	7671743	7676024	ENSG00000238073	unprocessed_pseudogene	-1
Y	8517364	8517748	ENSG00000275866	processed_pseudogene	-1
Y	22439593	22441458	ENSG00000131538	lncRNA	-1
Y	17464879	17465214	ENSG00000271595	processed_pseudogene	-1
Y	11340579	11385687	ENSG00000183704	unprocessed_pseudogene	-1
Y	3682805	3683868	ENSG00000232927	processed_pseudogene	1
Y	20570222	20570519	ENSG00000277438	processed_pseudogene	-1
Y	8550518	8713825	ENSG00000286217	lncRNA	1
Y	11314921	11316187	ENSG00000259154	unprocessed_pseudogene	1
Y	22490397	22514637	ENSG00000169789	protein_coding	1
Y	22646031	22646327	ENSG00000273589	unprocessed_pseudogene	-1
Y	7905536	7907303	ENSG00000273863	processed_pseudogene	-1
Y	22537047	22537849	ENSG00000228571	unprocessed_pseudogene	1
HG1395_PATCH	32845	52502	ENSG00000288260	protein_coding	-1
Y	11473727	11474237	ENSG00000271375	processed_pseudogene	-1
Y	8350931	8352143	ENSG00000224634	processed_pseudogene	1
Y	5887504	5888740	ENSG00000285470	processed_pseudogene	1
HG1395_PATCH	38436	38546	ENSG00000288430	snRNA	1
Y	21927521	21937150	ENSG00000226092	unprocessed_pseudogene	-1
HG1395_PATCH	39089	52538	ENSG00000288297	protein_coding	-1
Y	15348662	15456074	ENSG00000234620	unprocessed_pseudogene	-1
Y	7690511	7692678	ENSG00000236690	unprocessed_pseudogene	1
Y	11085476	11086061	ENSG00000273693	processed_pseudogene	-1
Y	12537650	12860839	ENSG00000114374	protein_coding	1
HG1395_PATCH	60573	64567	ENSG00000288274	protein_coding	1
HG1395_PATCH	65328	72730	ENSG00000288243	protein_coding	-1
HG1395_PATCH	82333	82900	ENSG00000288388	processed_pseudogene	1
HG1395_PATCH	84051	85911	ENSG00000288138	processed_pseudogene	1
Y	22071756	22096007	ENSG00000169807	protein_coding	-1
Y	7678899	7681028	ENSG00000223422	unprocessed_pseudogene	1
Y	21972313	22005349	ENSG00000231159	unprocessed_pseudogene	1
Y	3777997	3779546	ENSG00000225653	processed_pseudogene	-1
Y	21895394	21897559	ENSG00000251618	unprocessed_pseudogene	1
Y	22183850	22186021	ENSG00000229159	unprocessed_pseudogene	1
Y	17516836	17519038	ENSG00000228578	unprocessed_pseudogene	-1
